"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"Midvale Park","AZ","Tucson","Pima","Tucson",774,1034,0.000968054211035818,0.0157170923379175,0.0412890231621349,3554
2017-10-31,"Spuyten Duyvil","NY","New York","Bronx","New York",775,2062,-0.00913022585295531,-0.013868962219034,0.00536323744514871,3094
2017-10-31,"Wynwood - Edgewater","FL","Miami-Fort Lauderdale","Miami-Dade","Miami",776,2084,-0.000958772770853308,-0.0127901468498342,-0.0599909788001804,10781
2017-10-31,"West Garfield Park","IL","Chicago","Cook","Chicago",777,1388,0.00144300144300144,0.00725689404934688,0.0101892285298399,1402
2017-10-31,"University Village - Little Italy","IL","Chicago","Cook","Chicago",778,1794,-0.00111358574610245,0.0016750418760469,-0.020207536865101,6061
2017-10-31,"El Camino Real","CA","Los Angeles-Long Beach-Anaheim","Orange","Irvine",779,3047,0.000985545335085414,0.0126287803256896,0.0367471929227628,4889
2017-10-31,"Mountain View","CA","San Diego","San Diego","San Diego",780,2111,0.0086000955566173,0.0232670867668444,0.0960539979231568,2514
2017-10-31,"Kuliouou-Kalani Iki","HI","Urban Honolulu","Honolulu","Honolulu",781,3541,-0.00756726457399103,-0.0152947719688543,0.0231147067321583,5711
2017-10-31,"De Anza","CA","San Jose","Santa Clara","Sunnyvale",782,4275,0.000936548817607118,-0.00465657741559953,-0.00326416414082537,4751
2017-10-31,"Glenville","OH","Cleveland","Cuyahoga","Cleveland",783,831,0.00483675937122128,0.0109489051094891,0.0439698492462312,5525
2017-10-31,"Barry Square","CT","Hartford","Hartford","Hartford",784,1222,0.00741962077493817,0.0373514431239389,0.0862222222222222,1841
2017-10-31,"Gold Coast","IL","Chicago","Cook","Chicago",785,1982,0.000504795557799091,0.00609137055837563,-0.0149105367793241,9711
2017-10-31,"Mt Pleasant","OH","Cleveland","Cuyahoga","Cleveland",786,774,0,-0.0051413881748072,0.015748031496063,5832
2017-10-31,"West Side","MN","Minneapolis-St Paul","Ramsey","Saint Paul",787,1364,0.00589970501474926,0.017151379567487,0.0317700453857791,3935
2017-10-31,"Kenmore","NY","Buffalo","Erie","Tonawanda",788,1178,0.0076988879384089,0.0120274914089347,0.0443262411347518,5470
2017-10-31,"East Oak Lane","PA","Philadelphia","Philadelphia","Philadelphia",789,1343,0.000745156482861401,0.0143504531722054,-0.0275162925416365,2386
2017-10-31,"Belair-Edison","MD","Baltimore","Baltimore City","Baltimore",790,1257,0.00159362549800797,0.00721153846153846,-0.0210280373831776,6231
2017-10-31,"Traffic Circle","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",791,2410,0.00124636476942252,0.0029130253849355,0.0446467273515388,3349
2017-10-31,"Sun Lakes","AZ","Phoenix","Maricopa","Chandler",792,1540,0.00522193211488251,0.0065359477124183,0.0252996005326232,9811
2017-10-31,"Logan Heights","CA","San Diego","San Diego","San Diego",793,2200,0.00732600732600733,0.0133578995854445,0.0789602746444335,2068
2017-10-31,"Green Valley Ranch","NV","Las Vegas","Clark","Henderson",794,1620,0.00185528756957328,0.0106051154086089,0.0227272727272727,6561
2017-10-31,"Central West End","MO","St. Louis","Saint Louis City","Saint Louis",795,1562,-0.0138888888888889,-0.0504559270516717,-0.0176100628930818,5141
2017-10-31,"Upper Clinton Hill","NJ","New York","Essex","Newark",796,1430,0.00350877192982456,0.0199714693295292,0.000699790062981106,2985
2017-10-31,"Nestor","CA","San Diego","San Diego","San Diego",797,2285,0.00351339481774264,0.0119574844995571,0.0476845483723063,2795
2017-10-31,"Fair Haven","CT","New Haven","New Haven","New Haven",798,1290,0.000775795190069822,-0.00154798761609907,0.0420032310177706,2267
2017-10-31,"Rita Ranch","AZ","Tucson","Pima","Tucson",799,1175,0.00513259195893926,0.0217391304347826,0.0389036251105217,5818
2017-10-31,"Hyde Park Brookwood, Southern Hills","LA","Shreveport","Caddo","Shreveport",800,1115,0.00541027953110911,0.00631768953068592,-0.00976909413854352,5260
2017-10-31,"Fishtown","PA","Philadelphia","Philadelphia","Philadelphia",801,1489,0.00134498991257566,-0.00600801068090788,0.00472334682860999,8075
